latencia,216,259,240 
 mh,83,98,103 
 clonados,7936997,7033022,10467878 
 pkts,64861606,68869410,65871954 
TX,199602970,RX,199602970,CLONE_E2I,25437897,DROP,92
latencia,242,294,319 
 mh,99,118,161 
 clonados,9757814,8223506,14046788 
 pkts,64862651,68828829,65770247 
TX,199461727,RX,199461727,CLONE_E2I,32028108,DROP,91
latencia,223,262,246 
 mh,93,98,102 
 clonados,9103792,6999916,10460108 
 pkts,64738258,68886482,66008935 
TX,199633675,RX,199633675,CLONE_E2I,26563816,DROP,94
latencia,209,306,319 
 mh,77,133,161 
 clonados,7203988,8965151,14060298 
 pkts,64929446,68743215,65885275 
TX,199557936,RX,199557936,CLONE_E2I,30229437,DROP,95
latencia,230,270,246 
 mh,97,98,103 
 clonados,9550010,7063825,10451563 
 pkts,64716057,69071064,65752392 
TX,199539513,RX,199539513,CLONE_E2I,27065398,DROP,89
latencia,232,263,256 
 mh,95,98,103 
 clonados,9304890,7017783,10481323 
 pkts,64781907,68777562,65996420 
TX,199555889,RX,199555889,CLONE_E2I,26803996,DROP,99
latencia,205,256,243 
 mh,81,98,102 
 clonados,7677320,6995482,10454950 
 pkts,64827838,68931729,65925283 
TX,199684850,RX,199684850,CLONE_E2I,25127752,DROP,94
latencia,265,321,314 
 mh,122,149,161 
 clonados,11058601,9426002,14089640 
 pkts,64568333,68851070,66025948 
TX,199445351,RX,199445351,CLONE_E2I,34574243,DROP,100
latencia,195,330,321 
 mh,74,139,161 
 clonados,6662840,9409698,14031268 
 pkts,64977218,68901992,65695102 
TX,199574312,RX,199574312,CLONE_E2I,30103806,DROP,97
latencia,232,269,249 
 mh,98,98,102 
 clonados,9724089,7068046,10478351 
 pkts,64486516,69115391,65935559 
TX,199537466,RX,199537466,CLONE_E2I,27270486,DROP,91
