[0]:0 [1]:0 [2]:0 [3]:0
[0]:4037043076 [1]:1 [2]:2 [3]:81
[0]:3821155029 [1]:1 [2]:2 [3]:187
[0]:3594205267 [1]:1 [2]:2 [3]:168
[0]:3320909006 [1]:1 [2]:2 [3]:187
[0]:4101716961 [1]:1 [2]:2 [3]:201
[0]:3895031166 [1]:1 [2]:2 [3]:36
[0]:3681810733 [1]:1 [2]:2 [3]:197
[0]:3476986866 [1]:1 [2]:2 [3]:62
[0]:4181139208 [1]:1 [2]:2 [3]:81
[0]:3969547622 [1]:1 [2]:2 [3]:196
[0]:3761137456 [1]:1 [2]:2 [3]:162
[0]:3540068663 [1]:1 [2]:2 [3]:156
[0]:3325153134 [1]:1 [2]:2 [3]:47
[0]:4113831829 [1]:1 [2]:2 [3]:118
[0]:3843889273 [1]:1 [2]:2 [3]:56
[0]:3641445557 [1]:1 [2]:2 [3]:105
[0]:3429300009 [1]:1 [2]:2 [3]:190
[0]:4224091608 [1]:1 [2]:2 [3]:105
[0]:3985282689 [1]:1 [2]:2 [3]:152
[0]:3773245204 [1]:1 [2]:2 [3]:182
[0]:3558102478 [1]:1 [2]:2 [3]:105
[0]:3318466851 [1]:1 [2]:2 [3]:34
[0]:4105139608 [1]:1 [2]:2 [3]:197
[0]:3893709983 [1]:1 [2]:2 [3]:146
[0]:3678444613 [1]:1 [2]:2 [3]:107
[0]:3472633011 [1]:1 [2]:2 [3]:114
[0]:4269324457 [1]:1 [2]:2 [3]:197
[0]:4069160321 [1]:1 [2]:2 [3]:197
[0]:3825071507 [1]:1 [2]:2 [3]:125
[0]:3610275181 [1]:1 [2]:2 [3]:84
[0]:3392987259 [1]:1 [2]:2 [3]:192
[0]:4184953867 [1]:1 [2]:2 [3]:139
[0]:3969106889 [1]:1 [2]:2 [3]:193
[0]:3766121443 [1]:1 [2]:2 [3]:192
[0]:3544898039 [1]:1 [2]:2 [3]:137
[0]:3325036102 [1]:1 [2]:2 [3]:124
[0]:4104951362 [1]:1 [2]:2 [3]:123
[0]:3892953942 [1]:1 [2]:2 [3]:152
[0]:3685006321 [1]:1 [2]:2 [3]:133
[0]:3469230459 [1]:1 [2]:2 [3]:111
[0]:4246533178 [1]:1 [2]:2 [3]:33
[0]:4033003344 [1]:1 [2]:2 [3]:139
[0]:3821037509 [1]:1 [2]:2 [3]:200
