[0]:0 [1]:0 [2]:0 [3]:0
[0]:3347247886 [1]:1 [2]:2 [3]:192
[0]:4142813374 [1]:1 [2]:2 [3]:198
[0]:3932200394 [1]:1 [2]:2 [3]:118
[0]:3699870723 [1]:1 [2]:2 [3]:115
[0]:3485078347 [1]:1 [2]:2 [3]:176
[0]:4272485861 [1]:1 [2]:2 [3]:144
[0]:4048279454 [1]:1 [2]:2 [3]:99
[0]:3837395788 [1]:1 [2]:2 [3]:166
[0]:3633235391 [1]:1 [2]:2 [3]:119
[0]:3420024829 [1]:1 [2]:2 [3]:188
[0]:4215983863 [1]:1 [2]:2 [3]:172
[0]:4011001373 [1]:1 [2]:2 [3]:23
[0]:3756055579 [1]:1 [2]:2 [3]:199
[0]:3547975691 [1]:1 [2]:2 [3]:194
[0]:3335976726 [1]:1 [2]:2 [3]:28
[0]:4124355274 [1]:1 [2]:2 [3]:188
[0]:3908211901 [1]:1 [2]:2 [3]:136
[0]:3688231749 [1]:1 [2]:2 [3]:203
[0]:3481310417 [1]:1 [2]:2 [3]:177
[0]:4269166779 [1]:1 [2]:2 [3]:114
[0]:4044123834 [1]:1 [2]:2 [3]:76
[0]:3824049524 [1]:1 [2]:2 [3]:118
[0]:3619984293 [1]:1 [2]:2 [3]:107
[0]:3412216797 [1]:1 [2]:2 [3]:186
[0]:4199769161 [1]:1 [2]:2 [3]:32
[0]:3961766847 [1]:1 [2]:2 [3]:142
[0]:3747076884 [1]:1 [2]:2 [3]:90
[0]:3536246803 [1]:1 [2]:2 [3]:130
[0]:3325741521 [1]:1 [2]:2 [3]:28
[0]:4120494594 [1]:1 [2]:2 [3]:185
[0]:3900860661 [1]:1 [2]:2 [3]:112
[0]:3692326946 [1]:1 [2]:2 [3]:158
[0]:3476847794 [1]:1 [2]:2 [3]:81
[0]:4267986638 [1]:1 [2]:2 [3]:28
[0]:4052056098 [1]:1 [2]:2 [3]:41
[0]:3836222661 [1]:1 [2]:2 [3]:156
[0]:3628075679 [1]:1 [2]:2 [3]:47
[0]:3412338422 [1]:1 [2]:2 [3]:199
[0]:4200297361 [1]:1 [2]:2 [3]:52
[0]:3990636564 [1]:1 [2]:2 [3]:52
[0]:3780164983 [1]:1 [2]:2 [3]:102
[0]:3572486991 [1]:1 [2]:2 [3]:185
[0]:3356090861 [1]:1 [2]:2 [3]:32
[0]:4147791444 [1]:1 [2]:2 [3]:30
[0]:3940171272 [1]:1 [2]:2 [3]:162
[0]:3727842406 [1]:1 [2]:2 [3]:75
[0]:3507961929 [1]:1 [2]:2 [3]:194
[0]:3300167406 [1]:1 [2]:2 [3]:166
[0]:3968103253 [1]:1 [2]:2 [3]:139
[0]:3760148582 [1]:1 [2]:2 [3]:161
[0]:3544069001 [1]:1 [2]:2 [3]:192
[0]:3336152624 [1]:1 [2]:2 [3]:194
[0]:4120069471 [1]:1 [2]:2 [3]:140
[0]:3904009588 [1]:1 [2]:2 [3]:38
[0]:3700859509 [1]:1 [2]:2 [3]:100
[0]:3488139258 [1]:1 [2]:2 [3]:83
[0]:4280614259 [1]:1 [2]:2 [3]:178
[0]:4062515718 [1]:1 [2]:2 [3]:200
[0]:3848146976 [1]:1 [2]:2 [3]:41
[0]:3640029188 [1]:1 [2]:2 [3]:99
[0]:3420271501 [1]:1 [2]:2 [3]:60
[0]:4212328402 [1]:1 [2]:2 [3]:66
[0]:3916985443 [1]:1 [2]:2 [3]:189
[0]:3707099196 [1]:1 [2]:2 [3]:74
[0]:3497230526 [1]:1 [2]:2 [3]:194
[0]:4288269591 [1]:1 [2]:2 [3]:30
[0]:4076229323 [1]:1 [2]:2 [3]:173
[0]:3865176689 [1]:1 [2]:2 [3]:37
[0]:3632023268 [1]:1 [2]:2 [3]:166
[0]:3413304909 [1]:1 [2]:2 [3]:161
[0]:4200053943 [1]:1 [2]:2 [3]:94
