latencia,25,27,26 
 mh,6,7,7 
 clonados,187432638,373897533,200950041 
 pkts,382707928,423151983,390126450 
TX,1195986361,RX,1195986361,CLONE_E2I,762280214,DROP,96
latencia,22,26,26 
 mh,6,6,6 
 clonados,187414801,374073667,205182758 
 pkts,383192787,422149398,390730150 
TX,1196072335,RX,1196072335,CLONE_E2I,766671227,DROP,91
latencia,25,25,26 
 mh,6,7,7 
 clonados,187695182,374388247,199649698 
 pkts,383756596,423551324,388381626 
TX,1195689546,RX,1195689546,CLONE_E2I,761733127,DROP,93
latencia,25,25,24 
 mh,6,7,7 
 clonados,187402503,374477530,200050637 
 pkts,383108237,423517747,389284638 
TX,1195910622,RX,1195910622,CLONE_E2I,761930671,DROP,98
latencia,22,25,24 
 mh,6,6,6 
 clonados,195010295,378004511,207550089 
 pkts,383600577,424159227,388683038 
TX,1196442842,RX,1196442842,CLONE_E2I,780564895,DROP,89
latencia,24,25,23 
 mh,6,6,6 
 clonados,189664678,375911470,204181887 
 pkts,382926494,423450712,389512946 
TX,1195890152,RX,1195890152,CLONE_E2I,769758035,DROP,87
latencia,23,27,24 
 mh,6,7,7 
 clonados,187365402,374588638,200514578 
 pkts,382733180,423802292,389700623 
TX,1196236095,RX,1196236095,CLONE_E2I,762468618,DROP,92
latencia,24,25,26 
 mh,6,7,7 
 clonados,187840478,373422624,201019957 
 pkts,383577785,422400949,389962593 
TX,1195941327,RX,1195941327,CLONE_E2I,762283059,DROP,99
latencia,25,25,24 
 mh,6,7,7 
 clonados,188039783,374199438,200244049 
 pkts,384112402,422962851,389070774 
TX,1196146027,RX,1196146027,CLONE_E2I,762483270,DROP,96
latencia,24,23,22 
 mh,6,7,7 
 clonados,188036948,374409283,199806253 
 pkts,384426116,423469105,388283558 
TX,1196178779,RX,1196178779,CLONE_E2I,762252484,DROP,94
