[0]:142910944 [1]:24724054 [2]:167 [3]:354
[0]:143129974 [1]:24756663 [2]:165 [3]:364
[0]:143332359 [1]:24786652 [2]:165 [3]:362
[0]:143539815 [1]:24817544 [2]:165 [3]:369
[0]:143768182 [1]:24851355 [2]:165 [3]:364
[0]:143973633 [1]:24881853 [2]:165 [3]:362
[0]:144176127 [1]:24911853 [2]:165 [3]:367
[0]:144383136 [1]:24942642 [2]:165 [3]:360
[0]:144587285 [1]:24973019 [2]:165 [3]:362
[0]:144801065 [1]:25004747 [2]:165 [3]:365
[0]:145002569 [1]:25034876 [2]:165 [3]:371
[0]:145212990 [1]:25066275 [2]:165 [3]:364
[0]:145415401 [1]:25096442 [2]:165 [3]:365
[0]:145624130 [1]:25127344 [2]:165 [3]:361
[0]:145828970 [1]:25157759 [2]:165 [3]:362
[0]:146057589 [1]:25191732 [2]:165 [3]:369
[0]:146269929 [1]:25223250 [2]:165 [3]:365
[0]:146472723 [1]:25253394 [2]:165 [3]:358
[0]:146676301 [1]:25283634 [2]:165 [3]:371
[0]:146881187 [1]:25314033 [2]:152 [3]:355
[0]:147079496 [1]:25343370 [2]:152 [3]:357
[0]:147287296 [1]:25374231 [2]:152 [3]:367
[0]:147498431 [1]:25405652 [2]:152 [3]:92
[0]:147701071 [1]:25435842 [2]:152 [3]:363
[0]:147954394 [1]:25473401 [2]:152 [3]:367
[0]:148155745 [1]:25503297 [2]:152 [3]:366
[0]:148374536 [1]:25535766 [2]:152 [3]:358
[0]:148583309 [1]:25566721 [2]:152 [3]:359
[0]:148783472 [1]:25596493 [2]:152 [3]:363
[0]:149052182 [1]:25636445 [2]:152 [3]:367
[0]:149261309 [1]:25667538 [2]:152 [3]:368
[0]:149462309 [1]:25697304 [2]:152 [3]:358
[0]:149667324 [1]:25727592 [2]:152 [3]:365
[0]:149876166 [1]:25758542 [2]:152 [3]:357
[0]:150084719 [1]:25789424 [2]:152 [3]:369
[0]:150289773 [1]:25819897 [2]:152 [3]:366
[0]:150491196 [1]:25849722 [2]:151 [3]:83
[0]:150760359 [1]:25889585 [2]:151 [3]:363
[0]:150964032 [1]:25919741 [2]:151 [3]:360
[0]:151168978 [1]:25950209 [2]:151 [3]:359
[0]:151369844 [1]:25979979 [2]:151 [3]:361
[0]:151586756 [1]:26012042 [2]:151 [3]:366
[0]:151783491 [1]:26041259 [2]:151 [3]:367
[0]:151984664 [1]:26071089 [2]:151 [3]:359
[0]:152201450 [1]:26103375 [2]:151 [3]:371
[0]:152406105 [1]:26133728 [2]:151 [3]:360
[0]:152646022 [1]:26169213 [2]:151 [3]:362
[0]:152851283 [1]:26199589 [2]:151 [3]:365
[0]:153060394 [1]:26230579 [2]:151 [3]:367
[0]:153267436 [1]:26261354 [2]:151 [3]:367
[0]:153509844 [1]:26297319 [2]:151 [3]:357
[0]:153713464 [1]:26327546 [2]:151 [3]:361
[0]:153920070 [1]:26358243 [2]:151 [3]:367
[0]:154120437 [1]:26387982 [2]:151 [3]:360
[0]:154328649 [1]:26418872 [2]:151 [3]:370
[0]:154533628 [1]:26449217 [2]:151 [3]:362
[0]:154739259 [1]:26479749 [2]:151 [3]:365
[0]:154944385 [1]:26510155 [2]:151 [3]:368
