latencia,186,232,246,273,250,254,246 
 mh,95,98,97,97,97,97,97 
 clonados,2658487,2938082,4798742,3300042,4818991,3277226,4919694 
 pkts,27746611,29761599,27900797,29661067,28047649,29532290,28627403 
TX,201277416,RX,201277416,CLONE_E2I,26711264,DROP,98
latencia,168,209,232,307,291,313,316 
 mh,95,94,89,90,99,111,119 
 clonados,2669933,2381523,4796311,3875268,6482168,4392871,6578813 
 pkts,27850139,29703614,27912088,29576249,28126502,29571551,28484051 
TX,201224194,RX,201224194,CLONE_E2I,31176887,DROP,89
latencia,180,209,251,241,228,244,263 
 mh,96,97,95,95,95,95,95 
 clonados,2665591,2705599,4816042,3274927,4825471,3278330,4907706 
 pkts,27817919,29796412,27997084,29467485,28114327,29559850,28530480 
TX,201283557,RX,201283557,CLONE_E2I,26473666,DROP,90
latencia,191,199,238,252,258,272,239 
 mh,95,96,90,90,90,90,90 
 clonados,2686331,2250044,4832632,3274207,4832289,3265645,4901848 
 pkts,27998940,29573316,28114853,29496994,28129661,29481000,28509263 
TX,201304027,RX,201304027,CLONE_E2I,26042996,DROP,97
latencia,162,216,234,258,245,253,257 
 mh,95,96,92,92,92,92,92 
 clonados,2669936,2311720,4799654,3285144,4808955,3300054,4916639 
 pkts,27844392,29679142,27930200,29561774,28017170,29679071,28588184 
TX,201299933,RX,201299933,CLONE_E2I,26092102,DROP,92
latencia,183,213,254,279,250,325,315 
 mh,96,96,92,92,92,94,106 
 clonados,2688994,2320022,4816328,3294298,4833258,4333295,6586267 
 pkts,28020908,29489254,28032063,29609499,28145495,29425614,28542301 
TX,201265134,RX,201265134,CLONE_E2I,28872462,DROP,92
latencia,173,203,259,279,328,324,309 
 mh,96,96,92,92,98,109,117 
 clonados,2680593,2419424,4799409,3497708,6458812,4398788,6585945 
 pkts,27957094,29612438,28006437,29540766,28043318,29516096,28572609 
TX,201248758,RX,201248758,CLONE_E2I,30840679,DROP,96
latencia,171,199,162,321,314,333,333 
 mh,96,96,86,83,96,107,116 
 clonados,2677477,2171145,3157317,4277469,6453083,4418019,6575169 
 pkts,27940070,29641957,27971472,29645897,27956017,29641018,28493266 
TX,201289698,RX,201289698,CLONE_E2I,29729679,DROP,94
latencia,189,206,253,243,249,241,267 
 mh,95,97,93,93,93,93,93 
 clonados,2668478,2453063,4822770,3290487,4810965,3280923,4929258 
 pkts,27846727,29521203,28069101,29594605,28010902,29544120,28707134 
TX,201293792,RX,201293792,CLONE_E2I,26255944,DROP,96
latencia,172,209,240,250,253,261,250 
 mh,96,96,91,91,91,91,91 
 clonados,2676677,2333408,4806897,3298840,4800452,3314543,4898019 
 pkts,27907140,29567391,27994566,29688725,27916477,29710319,28519409 
TX,201304027,RX,201304027,CLONE_E2I,26128836,DROP,96
