[0]:0 [1]:0 [2]:0 [3]:0
[0]:3818850699 [1]:1 [2]:2 [3]:98
[0]:3610756232 [1]:1 [2]:2 [3]:82
[0]:3397487647 [1]:1 [2]:2 [3]:194
[0]:4185919027 [1]:1 [2]:2 [3]:125
[0]:3965445671 [1]:1 [2]:2 [3]:192
[0]:3741494657 [1]:1 [2]:2 [3]:158
[0]:3523132596 [1]:1 [2]:2 [3]:112
[0]:3297581071 [1]:1 [2]:2 [3]:158
[0]:4085633861 [1]:1 [2]:2 [3]:168
[0]:3875496582 [1]:1 [2]:2 [3]:188
[0]:3661476897 [1]:1 [2]:2 [3]:122
[0]:3434644482 [1]:1 [2]:2 [3]:182
[0]:4223031931 [1]:1 [2]:2 [3]:54
[0]:3952369078 [1]:1 [2]:2 [3]:80
[0]:3741437916 [1]:1 [2]:2 [3]:84
[0]:3524918638 [1]:1 [2]:2 [3]:87
[0]:3317712134 [1]:1 [2]:2 [3]:191
[0]:4101353988 [1]:1 [2]:2 [3]:40
[0]:3877308816 [1]:1 [2]:2 [3]:59
[0]:3665406213 [1]:1 [2]:2 [3]:114
[0]:3457360676 [1]:1 [2]:2 [3]:191
[0]:4241453742 [1]:1 [2]:2 [3]:188
[0]:4033405834 [1]:1 [2]:2 [3]:122
[0]:3821568068 [1]:1 [2]:2 [3]:28
[0]:3606750704 [1]:1 [2]:2 [3]:96
[0]:3387094781 [1]:1 [2]:2 [3]:150
[0]:4173781184 [1]:1 [2]:2 [3]:199
[0]:3956913778 [1]:1 [2]:2 [3]:70
[0]:3726593892 [1]:1 [2]:2 [3]:84
[0]:3513858191 [1]:1 [2]:2 [3]:28
[0]:4289583739 [1]:1 [2]:2 [3]:98
[0]:4065817461 [1]:1 [2]:2 [3]:113
[0]:3789568116 [1]:1 [2]:2 [3]:41
[0]:3589670723 [1]:1 [2]:2 [3]:146
[0]:3326346894 [1]:1 [2]:2 [3]:190
[0]:4111030912 [1]:1 [2]:2 [3]:170
[0]:3893341698 [1]:1 [2]:2 [3]:34
[0]:3681472993 [1]:1 [2]:2 [3]:80
[0]:3469538744 [1]:1 [2]:2 [3]:138
[0]:4209452922 [1]:1 [2]:2 [3]:171
[0]:4004765184 [1]:1 [2]:2 [3]:202
[0]:3797434782 [1]:1 [2]:2 [3]:112
[0]:3589413212 [1]:1 [2]:2 [3]:135
[0]:3374779446 [1]:1 [2]:2 [3]:80
[0]:4149398916 [1]:1 [2]:2 [3]:81
[0]:3937906402 [1]:1 [2]:2 [3]:126
[0]:3722745938 [1]:1 [2]:2 [3]:108
[0]:3509694116 [1]:1 [2]:2 [3]:175
[0]:3299122697 [1]:1 [2]:2 [3]:101
[0]:4087161356 [1]:1 [2]:2 [3]:171
[0]:3874406653 [1]:1 [2]:2 [3]:157
[0]:3669594063 [1]:1 [2]:2 [3]:191
[0]:3449912602 [1]:1 [2]:2 [3]:197
[0]:4234738032 [1]:1 [2]:2 [3]:125
[0]:4024902099 [1]:1 [2]:2 [3]:48
[0]:3805629587 [1]:1 [2]:2 [3]:188
[0]:3598715803 [1]:1 [2]:2 [3]:198
[0]:3393461618 [1]:1 [2]:2 [3]:62
[0]:4177606474 [1]:1 [2]:2 [3]:175
[0]:3965768182 [1]:1 [2]:2 [3]:192
[0]:3759146457 [1]:1 [2]:2 [3]:192
[0]:3549476959 [1]:1 [2]:2 [3]:191
[0]:3337541654 [1]:1 [2]:2 [3]:186
[0]:4129449638 [1]:1 [2]:2 [3]:149
[0]:3920339573 [1]:1 [2]:2 [3]:194
[0]:3673641986 [1]:1 [2]:2 [3]:149
[0]:3461444887 [1]:1 [2]:2 [3]:191
[0]:4241298101 [1]:1 [2]:2 [3]:110
[0]:4036113317 [1]:1 [2]:2 [3]:28
[0]:3826976977 [1]:1 [2]:2 [3]:66
[0]:3610885869 [1]:1 [2]:2 [3]:146
[0]:3385716607 [1]:1 [2]:2 [3]:33
[0]:4173587551 [1]:1 [2]:2 [3]:67
[0]:3953584491 [1]:1 [2]:2 [3]:143
[0]:3738182084 [1]:1 [2]:2 [3]:27
[0]:3521789354 [1]:1 [2]:2 [3]:89
[0]:3320470357 [1]:1 [2]:2 [3]:127
[0]:4113213129 [1]:1 [2]:2 [3]:59
[0]:3909594297 [1]:1 [2]:2 [3]:116
[0]:3694684262 [1]:1 [2]:2 [3]:135
[0]:3494222034 [1]:1 [2]:2 [3]:40
[0]:4207259577 [1]:1 [2]:2 [3]:153
