latencia,202,331,306,315,326,310,312 
 mh,77,126,161,153,161,153,161 
 clonados,2980602,4381438,6462140,4387543,6464421,4386397,6614202 
 pkts,27455808,29564829,27980654,29537533,27982052,29535015,28672929 
TX,200728820,RX,200728820,CLONE_E2I,35676743,DROP,98
latencia,233,245,236,259,256,263,265 
 mh,91,100,104,99,104,99,104 
 clonados,3999738,3291603,4826262,3281246,4829434,3283248,4879694 
 pkts,27514017,29600667,28101069,29556431,28105241,29563478,28365703 
TX,200806606,RX,200806606,CLONE_E2I,28391225,DROP,96
latencia,224,247,239,260,239,259,259 
 mh,88,99,104,99,104,99,104 
 clonados,3869460,3245546,4797754,3282538,4809772,3263267,4897710 
 pkts,27552880,29444744,27994516,29663155,28077180,29607982,28550076 
TX,200890533,RX,200890533,CLONE_E2I,28166047,DROP,93
latencia,208,311,315,327,313,323,319 
 mh,76,126,161,153,162,153,161 
 clonados,2988492,4356238,6462694,4412181,6466408,4391581,6591744 
 pkts,27527936,29442676,28007906,29656254,27988886,29503345,28599770 
TX,200726773,RX,200726773,CLONE_E2I,35669338,DROP,92
latencia,201,314,328,305,308,327,314 
 mh,76,126,161,153,161,153,161 
 clonados,2989019,4391638,6472130,4378680,6486393,4367413,6605286 
 pkts,27546485,29551183,28015544,29397143,28166880,29364219,28685319 
TX,200726773,RX,200726773,CLONE_E2I,35690559,DROP,98
latencia,183,329,319,331,308,325,312 
 mh,76,126,161,153,161,153,161 
 clonados,2987359,4380735,6454480,4413292,6459287,4394549,6596286 
 pkts,27530061,29530481,27936921,29583069,28024855,29507112,28614274 
TX,200726773,RX,200726773,CLONE_E2I,35685988,DROP,94
latencia,217,244,266,259,239,244,260 
 mh,92,100,104,99,104,100,104 
 clonados,4051261,3266410,4809169,3296964,4826338,3282645,4920345 
 pkts,27395982,29433794,28034037,29605079,28139754,29548343,28659852 
TX,200816841,RX,200816841,CLONE_E2I,28453132,DROP,95
latencia,182,329,319,324,323,341,303 
 mh,77,124,161,153,161,153,161 
 clonados,2978624,4369477,6432379,4397863,6478529,4397439,6598623 
 pkts,27433821,29654047,27850575,29584262,28041728,29546098,28616242 
TX,200726773,RX,200726773,CLONE_E2I,35652934,DROP,91
latencia,184,313,297,318,311,327,316 
 mh,77,125,161,153,161,153,161 
 clonados,2972834,4379292,6481025,4386670,6459515,4403425,6601655 
 pkts,27373389,29594150,28062989,29532658,27963542,29588951,28611094 
TX,200726773,RX,200726773,CLONE_E2I,35684416,DROP,94
latencia,188,305,312,337,318,325,321 
 mh,76,126,161,153,161,153,161 
 clonados,2988591,4345125,6467474,4386990,6474634,4412091,6588202 
 pkts,27526936,29392373,28076801,29515811,28061746,29634213,28520940 
TX,200728820,RX,200728820,CLONE_E2I,35663107,DROP,97
