latencia,21,25,20,27,24,27,21,26,22,26,22,25,24 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,20470233,84647248,46094693,84962375,45434355,85213122,44799067,85240424,45110717,86024182,44783710,85313600,52936159 
 pkts,107143491,96298451,88666479,96514383,87956207,96651513,86927412,97243628,86937699,97770290,87119873,96782259,102526070 
TX,1228537755,RX,1228537755,CLONE_E2I,811029885,DROP,95
latencia,16,26,28,25,27,27,25,26,25,22,30,25,26 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,20383011,84926784,45038351,84787545,45833383,85489399,44997293,85327227,44843636,85090277,45952577,84835627,53921919 
 pkts,106891083,96101986,87660143,96682229,88595934,96723541,87449738,96841725,86822137,96963298,88377184,96008442,103872702 
TX,1228990142,RX,1228990142,CLONE_E2I,811427029,DROP,94
latencia,19,28,26,25,22,28,22,27,25,25,22,25,20 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,19979754,85574546,44737973,85919000,45099804,84837837,45751702,85117717,45599820,85348931,45491509,85305104,54110120 
 pkts,106141477,96978365,87006281,97163061,88087051,96306659,88057753,96813818,87853692,96856586,87731358,96666293,104502696 
TX,1230787408,RX,1230787408,CLONE_E2I,813192452,DROP,95
latencia,20,24,23,28,27,28,22,25,23,26,22,25,23 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,19899615,85771268,44838882,85471487,45285945,85227341,45369854,85479995,45666619,84784595,45398106,85235989,54398301 
 pkts,106029022,97477550,87088352,97289615,87671457,96459895,87906625,97226630,88192421,95731523,87667675,96788867,104764682 
TX,1230705528,RX,1230705528,CLONE_E2I,813041634,DROP,101
latencia,15,24,28,24,29,21,27,21,28,26,23,31,30 
 mh,3,7,7,7,7,6,6,6,6,6,6,7,6 
 clonados,19661952,85106900,45738258,85163927,45524883,85469624,46298294,85286638,46721582,86090987,45959539,84921522,55715489 
 pkts,105543106,96689096,88369244,96614552,88147808,96986933,87636747,96419841,88376978,97080754,87643767,95818330,105111212 
TX,1230605225,RX,1230605225,CLONE_E2I,817746324,DROP,93
latencia,18,28,27,26,25,24,24,25,24,25,26,22,26 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,20505404,85195404,45598606,85190520,45016114,85490072,45581395,84450019,46256172,85376351,45482608,85322300,53605910 
 pkts,107208221,96241692,88703545,96495321,87342932,97060271,88200497,95748358,88756048,96870205,87857441,96726326,103443496 
TX,1230654353,RX,1230654353,CLONE_E2I,813070875,DROP,98
latencia,18,28,24,25,25,24,24,24,24,24,23,25,28 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,20201402,85869855,44669511,84977090,45957534,84624874,45752287,84787245,45907547,85040986,45967668,85177960,54106137 
 pkts,106659515,97219884,87341638,96303676,88940673,95757123,88279763,96463071,88122922,96834408,88149298,96370413,104480126 
TX,1230922510,RX,1230922510,CLONE_E2I,813040096,DROP,90
latencia,19,28,30,28,25,25,27,26,29,24,26,22,22 
 mh,3,7,7,7,7,7,7,7,7,7,6,6,6 
 clonados,19992210,85369974,45071415,85622481,45650506,85667443,44987290,85421779,45038437,85543298,45992008,84815844,55595947 
 pkts,106184274,96771175,87276279,97511392,88281644,96885213,87682572,96767660,87200628,97289232,88219234,95716789,104577748 
TX,1230775126,RX,1230775126,CLONE_E2I,814981662,DROP,93
latencia,14,23,26,25,23,26,25,24,23,25,27,25,23 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,20119733,84881264,45763936,85508476,45068180,85479064,45135926,85091119,45864190,85569120,45161442,85177724,54329932 
 pkts,106495709,96558902,88164063,97137888,87432792,96928612,87391164,96581649,88412802,96703169,87637410,96412415,104784865 
TX,1230711968,RX,1230711968,CLONE_E2I,813186863,DROP,94
latencia,21,26,28,27,26,27,27,27,25,24,25,25,22 
 mh,3,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,20231308,84951870,45553977,85025388,45524713,85054980,45710702,85138197,45996091,85465708,45087845,85832063,53499373 
 pkts,106640558,96436581,87935055,96214797,88198058,96456239,88188200,96459482,88751065,96622864,87600865,97088298,103863749 
TX,1230725998,RX,1230725998,CLONE_E2I,813211235,DROP,94
