latencia,289,376,282,329,296,329,238,398,304,291,270,322,298 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10179361,10521102,10701732,10543557,10713471,10602587,10596063,10524066,10655167,10718863,10605374,10580779,12270254 
 pkts,10179361,10521102,10701732,10543557,10713471,10602587,10596063,10524064,10655167,10718865,10605375,10580776,12270256 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,93
latencia,291,297,248,341,290,293,316,370,269,412,268,427,266 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10095807,10656875,10548036,10734021,10588866,10557043,10682147,10530342,10700939,10606863,10565989,10699478,12239829 
 pkts,10095807,10656876,10548034,10734020,10588865,10557046,10682147,10530342,10700939,10606863,10565989,10699478,12239829 
TX,139206235,RX,139206235,CLONE_E2I,139206235,DROP,95
latencia,247,344,250,325,228,314,299,344,284,300,242,311,318 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10051218,10602066,10614607,10630284,10650052,10576153,10633558,10654121,10665957,10587934,10602050,10699111,12246439 
 pkts,10051218,10602066,10614607,10630284,10650051,10576154,10633558,10654121,10665957,10587933,10602051,10699111,12246439 
TX,139213550,RX,139213550,CLONE_E2I,139213550,DROP,97
latencia,289,376,252,383,270,339,293,330,280,380,258,305,300 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10095465,10712647,10618073,10514412,10702825,10611876,10589353,10583714,10728487,10609222,10622861,10624089,12199352 
 pkts,10095465,10712647,10618072,10514413,10702825,10611876,10589353,10583714,10728487,10609222,10622860,10624088,12199354 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,94
latencia,252,382,283,324,263,320,265,299,251,330,243,319,255 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,9954930,10679386,10658795,10615148,10533572,10678364,10583963,10611935,10598591,10738024,10589261,10544765,12425642 
 pkts,9954930,10679386,10658794,10615149,10533572,10678363,10583964,10611934,10598592,10738024,10589260,10544765,12425643 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,99
latencia,263,373,286,333,278,315,294,345,289,337,263,375,312 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10095049,10643924,10655362,10502267,10743415,10579383,10592547,10572067,10654111,10668848,10632098,10622519,12248739 
 pkts,10095049,10643923,10655363,10502268,10743413,10579383,10592547,10572067,10654112,10668846,10632100,10622519,12248739 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,99
latencia,269,320,307,295,284,286,253,292,265,345,302,331,271 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10129620,10562078,10709077,10488006,10727082,10518721,10679292,10651148,10677379,10603629,10642046,10584041,12238210 
 pkts,10129619,10562079,10709077,10488005,10727083,10518721,10679292,10651148,10677379,10603629,10642047,10584040,12238210 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,95
latencia,258,324,288,294,275,370,260,332,272,317,333,344,278 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10103485,10563356,10649076,10665968,10602679,10591328,10648324,10584330,10713499,10617056,10517188,10626798,12329289 
 pkts,10103485,10563356,10649074,10665970,10602678,10591329,10648324,10584328,10713501,10617054,10517188,10626800,12329289 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,95
latencia,298,334,284,443,277,404,294,370,267,324,245,285,283 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,10110500,10615892,10590624,10638362,10624249,10592100,10629299,10586770,10711031,10593667,10590946,10702387,12224502 
 pkts,10110499,10615893,10590624,10638358,10624251,10592102,10629299,10586770,10711033,10593662,10590949,10702387,12224502 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,91
latencia,295,324,291,409,277,379,304,382,278,327,259,321,274 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,9982282,10687103,10623393,10578972,10668530,10520327,10674244,10625191,10673464,10654715,10570905,10584593,12364563 
 pkts,9982282,10687103,10623393,10578972,10668530,10520326,10674245,10625193,10673462,10654715,10570903,10584595,12364563 
TX,139208282,RX,139208282,CLONE_E2I,139208282,DROP,99
