latencia,180,290,303,302,327,333,316,317,320,314,325,303,319 
 mh,87,97,135,149,155,155,155,155,156,156,156,156,157 
 clonados,1495236,2296260,3431167,2366465,3458921,2357460,3420158,2353286,3450242,2348289,3434511,2373495,3968371 
 pkts,14305127,15813687,14922525,15840880,15002385,15832800,14806321,15790734,14956970,15748307,14905639,15869430,17204219 
TX,200999024,RX,200999024,CLONE_E2I,36753861,DROP,96
latencia,197,298,303,325,296,310,302,313,328,313,328,301,333 
 mh,87,97,135,149,154,155,155,155,156,156,156,156,157 
 clonados,1514923,2293809,3432980,2339803,3454485,2366872,3417212,2373755,3441755,2345080,3432112,2346253,3998240 
 pkts,14471989,15710931,14893968,15716472,15009421,15875737,14793546,15878297,14926261,15758977,14872647,15770840,17319938 
TX,200999024,RX,200999024,CLONE_E2I,36757279,DROP,98
latencia,179,282,315,333,340,316,320,307,307,342,307,324,324 
 mh,87,95,133,148,153,155,155,155,156,156,156,156,156 
 clonados,1493858,2235628,3427842,2366549,3459968,2340719,3458893,2333226,3432553,2369781,3445757,2362506,3977207 
 pkts,14292121,15780472,14889828,15803926,15047752,15684319,15061312,15714145,14857160,15832311,14966174,15856087,17215464 
TX,201001071,RX,201001071,CLONE_E2I,36704487,DROP,89
latencia,155,315,308,313,341,314,328,317,303,329,311,320,309 
 mh,87,97,134,149,154,155,156,156,155,156,156,155,156 
 clonados,1495686,2282434,3460296,2342660,3455064,2343683,3449562,2352648,3420490,2373749,3444065,2341651,4001680 
 pkts,14305940,15666487,15076483,15674908,15052629,15720460,14985636,15706843,14909978,15833890,14977297,15754354,17336166 
TX,201001071,RX,201001071,CLONE_E2I,36763668,DROP,95
latencia,195,313,298,309,294,313,304,324,303,319,308,333,316 
 mh,88,98,135,150,154,155,156,156,155,156,156,156,157 
 clonados,1495368,2306268,3455717,2344003,3438636,2354190,3428929,2392748,3410100,2374775,3438298,2357074,3983201 
 pkts,14291525,15809655,14972595,15710017,14951884,15782734,14883604,15933997,14811245,15858086,14920377,15771780,17299478 
TX,200996977,RX,200996977,CLONE_E2I,36779307,DROP,92
latencia,184,325,298,333,318,318,300,321,297,310,328,323,312 
 mh,88,97,135,149,154,155,155,155,156,156,156,156,157 
 clonados,1487393,2293607,3449568,2351410,3445680,2343971,3446435,2378186,3405085,2365382,3429984,2374893,3986843 
 pkts,14235072,15847362,14943054,15715059,15002208,15711799,14981349,15911440,14760942,15874918,14846634,15883797,17287437 
TX,201001071,RX,201001071,CLONE_E2I,36758437,DROP,93
latencia,156,315,307,320,315,318,298,320,327,323,307,325,322 
 mh,88,95,134,148,153,155,155,155,155,155,155,156,156 
 clonados,1500461,2234270,3468644,2356149,3424306,2360975,3444476,2340189,3446641,2342467,3469422,2336859,3981786 
 pkts,14342941,15718387,15078132,15822912,14835388,15802250,14959950,15663650,15011138,15698829,15087934,15686068,17293492 
TX,201001071,RX,201001071,CLONE_E2I,36706645,DROP,96
latencia,210,306,323,336,311,321,294,315,329,325,305,309,336 
 mh,87,97,135,150,154,155,156,156,155,156,155,155,156 
 clonados,1501851,2305429,3456453,2346417,3432983,2365295,3461765,2328755,3457665,2330622,3464784,2335966,3989912 
 pkts,14352261,15727970,15015036,15737639,14906439,15870279,14986271,15630818,15050286,15655681,15058317,15726395,17281632 
TX,200999024,RX,200999024,CLONE_E2I,36777897,DROP,103
latencia,194,305,315,314,328,317,315,308,289,338,327,317,319 
 mh,87,96,134,148,153,155,155,155,156,156,155,156,156 
 clonados,1511181,2240480,3448782,2375314,3407253,2362134,3464211,2351109,3427699,2364492,3427733,2364433,3967227 
 pkts,14437170,15695926,14982791,15893182,14759923,15816709,15032353,15794618,14848384,15831876,14869824,15865508,17172807 
TX,201001071,RX,201001071,CLONE_E2I,36712048,DROP,101
latencia,211,321,311,337,312,322,324,337,323,309,323,318,315 
 mh,88,97,135,149,155,155,155,155,156,156,156,156,157 
 clonados,1493851,2276215,3446841,2352173,3457071,2350595,3422822,2367822,3420583,2369596,3434086,2371824,3991356 
 pkts,14277332,15751695,14976064,15730951,15041788,15802546,14818069,15834286,14849297,15800862,14943108,15896520,17276506 
TX,200999024,RX,200999024,CLONE_E2I,36754835,DROP,93
