[0]:0 [1]:0 [2]:0 [3]:0
[0]:3447549089 [1]:1 [2]:2 [3]:133
[0]:4231445177 [1]:1 [2]:2 [3]:104
[0]:4003434583 [1]:1 [2]:2 [3]:192
[0]:3791249653 [1]:1 [2]:2 [3]:107
[0]:3507324979 [1]:1 [2]:2 [3]:192
[0]:3295378993 [1]:1 [2]:2 [3]:88
[0]:4079225832 [1]:1 [2]:2 [3]:28
[0]:3879484783 [1]:1 [2]:2 [3]:186
[0]:3676736566 [1]:1 [2]:2 [3]:31
[0]:3455286482 [1]:1 [2]:2 [3]:93
[0]:4231174679 [1]:1 [2]:2 [3]:191
[0]:4013518827 [1]:1 [2]:2 [3]:75
[0]:3795593404 [1]:1 [2]:2 [3]:97
[0]:3579504517 [1]:1 [2]:2 [3]:185
[0]:3367884771 [1]:1 [2]:2 [3]:169
[0]:4151528146 [1]:1 [2]:2 [3]:146
[0]:3935490693 [1]:1 [2]:2 [3]:128
[0]:3719561051 [1]:1 [2]:2 [3]:32
[0]:3501577512 [1]:1 [2]:2 [3]:151
[0]:4287467763 [1]:1 [2]:2 [3]:142
[0]:4075434916 [1]:1 [2]:2 [3]:127
[0]:3867605569 [1]:1 [2]:2 [3]:64
[0]:3647547162 [1]:1 [2]:2 [3]:54
[0]:3438398393 [1]:1 [2]:2 [3]:91
[0]:4215237371 [1]:1 [2]:2 [3]:77
[0]:4007648308 [1]:1 [2]:2 [3]:167
[0]:3751502762 [1]:1 [2]:2 [3]:189
[0]:3533841351 [1]:1 [2]:2 [3]:112
[0]:3323603964 [1]:1 [2]:2 [3]:181
[0]:4107479722 [1]:1 [2]:2 [3]:69
[0]:3880898911 [1]:1 [2]:2 [3]:58
[0]:3611335724 [1]:1 [2]:2 [3]:69
[0]:3411682234 [1]:1 [2]:2 [3]:164
[0]:4203280903 [1]:1 [2]:2 [3]:188
[0]:3912998847 [1]:1 [2]:2 [3]:45
[0]:3699530564 [1]:1 [2]:2 [3]:67
[0]:3468493519 [1]:1 [2]:2 [3]:36
[0]:4264033522 [1]:1 [2]:2 [3]:201
[0]:4057822277 [1]:1 [2]:2 [3]:197
[0]:3831574653 [1]:1 [2]:2 [3]:169
[0]:3611513974 [1]:1 [2]:2 [3]:54
[0]:3395381452 [1]:1 [2]:2 [3]:138
[0]:4183426181 [1]:1 [2]:2 [3]:187
[0]:3951508821 [1]:1 [2]:2 [3]:155
[0]:3689293317 [1]:1 [2]:2 [3]:135
[0]:3479453466 [1]:1 [2]:2 [3]:43
[0]:4264867406 [1]:1 [2]:2 [3]:108
[0]:4059335614 [1]:1 [2]:2 [3]:183
[0]:3847557299 [1]:1 [2]:2 [3]:89
[0]:3636528331 [1]:1 [2]:2 [3]:153
[0]:3419267218 [1]:1 [2]:2 [3]:182
[0]:4211648291 [1]:1 [2]:2 [3]:34
[0]:3995685844 [1]:1 [2]:2 [3]:171
[0]:3785466556 [1]:1 [2]:2 [3]:79
[0]:3563413259 [1]:1 [2]:2 [3]:74
[0]:3358909177 [1]:1 [2]:2 [3]:126
[0]:4097941183 [1]:1 [2]:2 [3]:84
[0]:3892173876 [1]:1 [2]:2 [3]:196
[0]:3679518278 [1]:1 [2]:2 [3]:188
[0]:3464653193 [1]:1 [2]:2 [3]:164
[0]:4247883292 [1]:1 [2]:2 [3]:195
[0]:4031233586 [1]:1 [2]:2 [3]:182
[0]:3815875666 [1]:1 [2]:2 [3]:127
[0]:3599547209 [1]:1 [2]:2 [3]:121
[0]:3391304851 [1]:1 [2]:2 [3]:162
[0]:4112221293 [1]:1 [2]:2 [3]:95
[0]:3907432872 [1]:1 [2]:2 [3]:151
[0]:3699791457 [1]:1 [2]:2 [3]:85
[0]:3491524093 [1]:1 [2]:2 [3]:131
[0]:4255662697 [1]:1 [2]:2 [3]:194
[0]:4047436511 [1]:1 [2]:2 [3]:30
[0]:3816271172 [1]:1 [2]:2 [3]:82
[0]:3603153006 [1]:1 [2]:2 [3]:131
[0]:3390513894 [1]:1 [2]:2 [3]:192
[0]:4173297819 [1]:1 [2]:2 [3]:186
[0]:3963724043 [1]:1 [2]:2 [3]:141
[0]:3680402384 [1]:1 [2]:2 [3]:161
[0]:3471709878 [1]:1 [2]:2 [3]:69
[0]:4258610174 [1]:1 [2]:2 [3]:158
[0]:4011729298 [1]:1 [2]:2 [3]:169
[0]:3801808768 [1]:1 [2]:2 [3]:86
[0]:3583682593 [1]:1 [2]:2 [3]:29
[0]:3367149087 [1]:1 [2]:2 [3]:64
[0]:4151440262 [1]:1 [2]:2 [3]:104
[0]:3935700938 [1]:1 [2]:2 [3]:190
[0]:3725019767 [1]:1 [2]:2 [3]:194
[0]:3515522696 [1]:1 [2]:2 [3]:104
[0]:3307641368 [1]:1 [2]:2 [3]:60
[0]:4092064458 [1]:1 [2]:2 [3]:40
[0]:3875608338 [1]:1 [2]:2 [3]:193
[0]:3571853929 [1]:1 [2]:2 [3]:101
[0]:3347549856 [1]:1 [2]:2 [3]:106
[0]:4128980221 [1]:1 [2]:2 [3]:189
