latencia,25,28,24,25,25,26,26 
 mh,0,0,0,0,0,0,0 
 clonados,163074172,187125506,170662067,188170796,170183824,188071887,177091236 
 pkts,163074158,187125513,170662074,188170783,170183832,188071891,177091237 
TX,1244379488,RX,1244379488,CLONE_E2I,1244379488,DROP,94
latencia,26,25,26,28,26,24,28 
 mh,0,0,0,0,0,0,0 
 clonados,163327976,187197181,170939016,187869821,170336925,188303829,175751747 
 pkts,163327976,187197179,170939019,187869820,170336912,188303838,175751751 
TX,1243726495,RX,1243726495,CLONE_E2I,1243726495,DROP,98
latencia,24,24,25,26,25,24,29 
 mh,0,0,0,0,0,0,0 
 clonados,163200207,188443612,170258536,188102241,170978003,187801690,175521507 
 pkts,163200202,188443617,170258532,188102244,170978002,187801686,175521513 
TX,1244305796,RX,1244305796,CLONE_E2I,1244305796,DROP,95
latencia,24,25,28,25,26,25,28 
 mh,0,0,0,0,0,0,0 
 clonados,163253615,187802563,170267477,188265893,170188268,188403160,176073645 
 pkts,163253598,187802577,170267479,188265893,170188257,188403165,176073652 
TX,1244254621,RX,1244254621,CLONE_E2I,1244254621,DROP,92
latencia,24,23,25,26,25,25,25 
 mh,0,0,0,0,0,0,0 
 clonados,163164507,188465614,170418074,187232171,170059667,189187581,175344218 
 pkts,163164507,188465612,170418019,187232210,170059680,189187585,175344219 
TX,1243871832,RX,1243871832,CLONE_E2I,1243871832,DROP,93
latencia,26,25,26,25,24,26,26 
 mh,0,0,0,0,0,0,0 
 clonados,162035842,188786147,170186233,187985318,170435016,187287417,177548883 
 pkts,162035842,188786149,170186231,187985311,170435020,187287417,177548886 
TX,1244264856,RX,1244264856,CLONE_E2I,1244264856,DROP,94
latencia,24,23,24,26,24,24,28 
 mh,0,0,0,0,0,0,0 
 clonados,163472218,187694464,170614165,188872833,169957495,187481649,176049212 
 pkts,163472217,187694465,170614165,188872833,169957496,187481621,176049239 
TX,1244142036,RX,1244142036,CLONE_E2I,1244142036,DROP,95
latencia,24,25,24,26,24,23,25 
 mh,0,0,0,0,0,0,0 
 clonados,163086165,188238464,169809776,188897219,170557130,187729768,175727305 
 pkts,163086157,188238471,169809773,188897131,170557216,187729764,175727315 
TX,1244045827,RX,1244045827,CLONE_E2I,1244045827,DROP,94
latencia,26,26,26,25,22,25,26 
 mh,0,0,0,0,0,0,0 
 clonados,162635826,188526117,170110495,187764228,170146598,187787708,176929518 
 pkts,162635821,188526057,170110556,187764204,170146624,187787702,176929526 
TX,1243900490,RX,1243900490,CLONE_E2I,1243900490,DROP,94
latencia,21,26,25,26,27,27,27 
 mh,0,0,0,0,0,0,0 
 clonados,162913359,187606961,171195106,187463814,170687762,187923965,176211873 
 pkts,162913359,187606958,171195107,187463808,170687767,187923960,176211881 
TX,1244002840,RX,1244002840,CLONE_E2I,1244002840,DROP,95
