[0]:0 [1]:0 [2]:0 [3]:0
[0]:4127345818 [1]:1 [2]:2 [3]:191
[0]:3903211853 [1]:1 [2]:2 [3]:77
[0]:3695527256 [1]:1 [2]:2 [3]:68
[0]:3478156602 [1]:1 [2]:2 [3]:61
[0]:4278993468 [1]:1 [2]:2 [3]:102
[0]:4059792197 [1]:1 [2]:2 [3]:85
[0]:3844089607 [1]:1 [2]:2 [3]:191
[0]:3623473278 [1]:1 [2]:2 [3]:201
[0]:3391280473 [1]:1 [2]:2 [3]:66
[0]:4187302434 [1]:1 [2]:2 [3]:73
[0]:3983581288 [1]:1 [2]:2 [3]:118
[0]:3779730619 [1]:1 [2]:2 [3]:70
[0]:3553595678 [1]:1 [2]:2 [3]:27
[0]:3339205014 [1]:1 [2]:2 [3]:85
[0]:4111382276 [1]:1 [2]:2 [3]:35
[0]:3903534454 [1]:1 [2]:2 [3]:196
[0]:3679184273 [1]:1 [2]:2 [3]:194
[0]:3462548054 [1]:1 [2]:2 [3]:193
[0]:4236142976 [1]:1 [2]:2 [3]:116
[0]:4023329616 [1]:1 [2]:2 [3]:185
[0]:3811344857 [1]:1 [2]:2 [3]:107
[0]:3599417308 [1]:1 [2]:2 [3]:139
[0]:3375599653 [1]:1 [2]:2 [3]:180
[0]:4143296609 [1]:1 [2]:2 [3]:89
[0]:3937896139 [1]:1 [2]:2 [3]:97
[0]:3728304476 [1]:1 [2]:2 [3]:88
[0]:3519276122 [1]:1 [2]:2 [3]:118
[0]:3311464816 [1]:1 [2]:2 [3]:190
[0]:4106738229 [1]:1 [2]:2 [3]:63
[0]:3891302994 [1]:1 [2]:2 [3]:199
[0]:3667346853 [1]:1 [2]:2 [3]:126
[0]:3452930918 [1]:1 [2]:2 [3]:196
[0]:4235553376 [1]:1 [2]:2 [3]:157
[0]:4016000961 [1]:1 [2]:2 [3]:64
[0]:3799661779 [1]:1 [2]:2 [3]:102
[0]:3588319903 [1]:1 [2]:2 [3]:193
[0]:3373016833 [1]:1 [2]:2 [3]:203
[0]:4131219484 [1]:1 [2]:2 [3]:190
[0]:3920800348 [1]:1 [2]:2 [3]:168
[0]:3703334006 [1]:1 [2]:2 [3]:86
[0]:3495407768 [1]:1 [2]:2 [3]:32
[0]:4217999968 [1]:1 [2]:2 [3]:57
[0]:4014779607 [1]:1 [2]:2 [3]:100
[0]:3791453523 [1]:1 [2]:2 [3]:199
[0]:3579999196 [1]:1 [2]:2 [3]:196
[0]:3364849543 [1]:1 [2]:2 [3]:147
[0]:4156102136 [1]:1 [2]:2 [3]:30
[0]:3947491857 [1]:1 [2]:2 [3]:71
[0]:3735536861 [1]:1 [2]:2 [3]:68
[0]:3515422431 [1]:1 [2]:2 [3]:74
[0]:3303415547 [1]:1 [2]:2 [3]:35
[0]:4096350881 [1]:1 [2]:2 [3]:26
