latencia,271,337,286,392,291 
 mh,0,0,0,0,0 
 clonados,27340523,27926484,27809157,27805175,28320802 
 pkts,27340523,27926484,27809157,27805175,28320802 
TX,139202141,RX,139202141,CLONE_E2I,139202141,DROP,97
latencia,282,304,265,384,319 
 mh,0,0,0,0,0 
 clonados,27423609,27864852,27829683,27872175,28211822 
 pkts,27423608,27864851,27829685,27872172,28211825 
TX,139202141,RX,139202141,CLONE_E2I,139202141,DROP,92
latencia,271,304,271,402,282 
 mh,0,0,0,0,0 
 clonados,27358656,27864133,27789535,27855354,28336510 
 pkts,27358659,27864130,27789535,27855354,28336510 
TX,139204188,RX,139204188,CLONE_E2I,139204188,DROP,95
latencia,264,323,282,391,304 
 mh,0,0,0,0,0 
 clonados,27286849,27900968,27829146,27911926,28271205 
 pkts,27286848,27900969,27829145,27911927,28271205 
TX,139200094,RX,139200094,CLONE_E2I,139200094,DROP,89
latencia,268,388,290,324,297 
 mh,0,0,0,0,0 
 clonados,27255809,27925428,27843813,27939668,28243564 
 pkts,27255808,27925429,27843813,27939668,28243564 
TX,139208282,RX,139208282,CLONE_E2I,139208282,DROP,97
latencia,292,356,306,344,282 
 mh,0,0,0,0,0 
 clonados,27315455,27832128,27900443,27866094,28300303 
 pkts,27315455,27832128,27900443,27866093,28300304 
TX,139214423,RX,139214423,CLONE_E2I,139214423,DROP,91
latencia,273,350,297,318,281 
 mh,0,0,0,0,0 
 clonados,27248925,27958627,27799719,27890374,28316067 
 pkts,27248923,27958629,27799718,27890375,28316067 
TX,139213712,RX,139213712,CLONE_E2I,139213712,DROP,92
latencia,290,403,272,282,294 
 mh,0,0,0,0,0 
 clonados,27418117,27770661,27891199,27925405,28200853 
 pkts,27418116,27770662,27891199,27925404,28200854 
TX,139206235,RX,139206235,CLONE_E2I,139206235,DROP,95
latencia,265,321,260,314,302 
 mh,0,0,0,0,0 
 clonados,27201438,27968889,27883318,27815073,28341611 
 pkts,27201438,27968889,27883318,27815073,28341611 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,96
latencia,294,365,279,336,316 
 mh,0,0,0,0,0 
 clonados,27387368,27851087,27856848,27816817,28300256 
 pkts,27387367,27851088,27856846,27816819,28300256 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,90
