[0]:0 [1]:0 [2]:0 [3]:0
[0]:4069333616 [1]:1 [2]:2 [3]:196
[0]:3862630387 [1]:1 [2]:2 [3]:129
[0]:3645554146 [1]:1 [2]:2 [3]:182
[0]:3441514964 [1]:1 [2]:2 [3]:55
[0]:4229373154 [1]:1 [2]:2 [3]:90
[0]:4022441742 [1]:1 [2]:2 [3]:82
[0]:3823198393 [1]:1 [2]:2 [3]:187
[0]:3620633568 [1]:1 [2]:2 [3]:134
[0]:3401253162 [1]:1 [2]:2 [3]:63
[0]:4173386638 [1]:1 [2]:2 [3]:191
[0]:3965343317 [1]:1 [2]:2 [3]:168
[0]:3745878398 [1]:1 [2]:2 [3]:190
[0]:3498299947 [1]:1 [2]:2 [3]:33
[0]:4289446676 [1]:1 [2]:2 [3]:69
[0]:4085214384 [1]:1 [2]:2 [3]:51
[0]:3865397398 [1]:1 [2]:2 [3]:113
[0]:3653601878 [1]:1 [2]:2 [3]:54
[0]:3437112806 [1]:1 [2]:2 [3]:195
[0]:4226220933 [1]:1 [2]:2 [3]:145
[0]:4001541928 [1]:1 [2]:2 [3]:160
[0]:3785441073 [1]:1 [2]:2 [3]:196
[0]:3574829198 [1]:1 [2]:2 [3]:63
[0]:3370365492 [1]:1 [2]:2 [3]:144
[0]:4118542299 [1]:1 [2]:2 [3]:33
[0]:3914761888 [1]:1 [2]:2 [3]:33
[0]:3697414862 [1]:1 [2]:2 [3]:88
[0]:3489227477 [1]:1 [2]:2 [3]:45
[0]:4247417412 [1]:1 [2]:2 [3]:93
[0]:4042602028 [1]:1 [2]:2 [3]:36
[0]:3827315596 [1]:1 [2]:2 [3]:93
[0]:3610484639 [1]:1 [2]:2 [3]:165
[0]:3405538467 [1]:1 [2]:2 [3]:154
[0]:4165593188 [1]:1 [2]:2 [3]:102
[0]:3955267118 [1]:1 [2]:2 [3]:84
[0]:3747524154 [1]:1 [2]:2 [3]:134
[0]:3533364773 [1]:1 [2]:2 [3]:28
[0]:3297342054 [1]:1 [2]:2 [3]:124
[0]:4088438118 [1]:1 [2]:2 [3]:31
[0]:3850545998 [1]:1 [2]:2 [3]:45
[0]:3637342082 [1]:1 [2]:2 [3]:27
[0]:3429483451 [1]:1 [2]:2 [3]:80
[0]:4210643504 [1]:1 [2]:2 [3]:63
[0]:3969609781 [1]:1 [2]:2 [3]:98
[0]:3757577246 [1]:1 [2]:2 [3]:34
[0]:3550952043 [1]:1 [2]:2 [3]:200
[0]:3333439571 [1]:1 [2]:2 [3]:59
[0]:4128796766 [1]:1 [2]:2 [3]:69
[0]:3914816597 [1]:1 [2]:2 [3]:106
[0]:3645499847 [1]:1 [2]:2 [3]:24
[0]:3445447978 [1]:1 [2]:2 [3]:94
[0]:4233402086 [1]:1 [2]:2 [3]:93
[0]:4021836658 [1]:1 [2]:2 [3]:191
[0]:3813426972 [1]:1 [2]:2 [3]:84
[0]:3593308407 [1]:1 [2]:2 [3]:198
[0]:3379851671 [1]:1 [2]:2 [3]:29
[0]:4170434501 [1]:1 [2]:2 [3]:40
[0]:3961570684 [1]:1 [2]:2 [3]:188
[0]:3749731253 [1]:1 [2]:2 [3]:34
[0]:3528580321 [1]:1 [2]:2 [3]:117
[0]:3326476344 [1]:1 [2]:2 [3]:28
[0]:4097382123 [1]:1 [2]:2 [3]:112
[0]:3805241336 [1]:1 [2]:2 [3]:149
[0]:3595039749 [1]:1 [2]:2 [3]:133
[0]:3381429221 [1]:1 [2]:2 [3]:81
[0]:4176147019 [1]:1 [2]:2 [3]:145
[0]:3961369276 [1]:1 [2]:2 [3]:131
[0]:3747427972 [1]:1 [2]:2 [3]:103
[0]:3545490333 [1]:1 [2]:2 [3]:116
[0]:3329581932 [1]:1 [2]:2 [3]:153
[0]:4114220519 [1]:1 [2]:2 [3]:103
[0]:3911099132 [1]:1 [2]:2 [3]:34
