latencia,23,26,25,27,26,25,29 
 mh,6,7,7,7,7,7,7 
 clonados,75286450,160552301,84832409,160012352,84797681,160793572,87609644 
 pkts,163853721,182132682,164919949,181279842,164178576,181893879,170134579 
TX,1208393228,RX,1208393228,CLONE_E2I,813884409,DROP,96
latencia,21,23,22,26,25,26,25 
 mh,6,7,7,7,7,7,7 
 clonados,75144926,160766665,84251230,159858787,85571967,160548115,87735077 
 pkts,163511706,182128935,164118217,180908481,165801958,181475675,170307013 
TX,1208251985,RX,1208251985,CLONE_E2I,813876767,DROP,94
latencia,24,26,25,25,24,25,28 
 mh,6,6,6,6,6,6,6 
 clonados,75988429,161310605,85597960,161079675,85937106,160141822,89499746 
 pkts,162970596,182336738,163617935,181663988,164138625,180578561,169719470 
TX,1205025913,RX,1205025913,CLONE_E2I,819555343,DROP,92
latencia,21,23,26,26,27,25,30 
 mh,6,7,7,7,7,7,7 
 clonados,75357580,160564163,84752520,160042409,84644724,160326878,88385242 
 pkts,164034209,181495213,165144174,180617938,164574001,181739654,170798274 
TX,1208403463,RX,1208403463,CLONE_E2I,814073516,DROP,91
latencia,24,25,28,27,27,26,29 
 mh,6,7,7,7,7,7,7 
 clonados,74936330,159936798,84101253,159849484,83920595,160517986,86887743 
 pkts,163016576,181515590,163391867,181607708,162738986,182300531,168155874 
TX,1202727132,RX,1202727132,CLONE_E2I,810150190,DROP,92
latencia,25,25,28,23,26,26,23 
 mh,6,6,6,6,6,6,6 
 clonados,77163353,160058739,87289833,160694687,86613196,161300263,89507141 
 pkts,164649828,180410739,165702268,180860252,164945325,181588648,170418351 
TX,1208575411,RX,1208575411,CLONE_E2I,822627212,DROP,96
latencia,27,25,24,25,28,28,28 
 mh,6,7,7,7,7,7,7 
 clonados,75351749,159779831,85414920,160277808,84663071,160593535,87521735 
 pkts,164092945,180893110,165744348,181397230,164603760,181479903,170161462 
TX,1208372758,RX,1208372758,CLONE_E2I,813602649,DROP,96
latencia,23,23,26,22,24,27,25 
 mh,6,6,6,6,6,6,6 
 clonados,78030729,162027604,87504140,161268924,88680725,161684256,91274328 
 pkts,163559115,181739185,164515697,181249867,165604326,181061829,170878144 
TX,1208608163,RX,1208608163,CLONE_E2I,830470706,DROP,89
latencia,26,24,27,26,24,27,27 
 mh,6,7,7,7,7,7,7 
 clonados,76008837,159991561,84474077,160688059,84777223,159807135,87801402 
 pkts,165341225,181008837,164305526,182246626,164480892,181060041,169340075 
TX,1207783222,RX,1207783222,CLONE_E2I,813548294,DROP,98
latencia,22,25,23,24,24,27,26 
 mh,6,7,7,7,7,7,7 
 clonados,75257588,160162699,85165315,160565268,84669174,160579396,87802620 
 pkts,163830746,181388034,165290878,181807487,164489736,181655297,170180784 
TX,1208642962,RX,1208642962,CLONE_E2I,814202060,DROP,94
