[0]:0 [1]:0 [2]:0 [3]:0
[0]:3561823517 [1]:1 [2]:2 [3]:126
[0]:3341958404 [1]:1 [2]:2 [3]:75
[0]:4114830051 [1]:1 [2]:2 [3]:49
[0]:3893641321 [1]:1 [2]:2 [3]:115
[0]:3681834038 [1]:1 [2]:2 [3]:197
[0]:3461732803 [1]:1 [2]:2 [3]:32
[0]:4222520904 [1]:1 [2]:2 [3]:76
[0]:4013807369 [1]:1 [2]:2 [3]:112
[0]:3798835657 [1]:1 [2]:2 [3]:189
[0]:3575061578 [1]:1 [2]:2 [3]:52
[0]:3358693183 [1]:1 [2]:2 [3]:190
[0]:4146030752 [1]:1 [2]:2 [3]:163
[0]:3918915908 [1]:1 [2]:2 [3]:199
[0]:3705495227 [1]:1 [2]:2 [3]:192
[0]:3486523404 [1]:1 [2]:2 [3]:88
[0]:4269312541 [1]:1 [2]:2 [3]:187
[0]:4054122589 [1]:1 [2]:2 [3]:198
[0]:3841842881 [1]:1 [2]:2 [3]:25
[0]:3589831609 [1]:1 [2]:2 [3]:144
[0]:3381604004 [1]:1 [2]:2 [3]:81
[0]:4171322839 [1]:1 [2]:2 [3]:97
[0]:3949448658 [1]:1 [2]:2 [3]:154
[0]:3729935179 [1]:1 [2]:2 [3]:126
[0]:3494356979 [1]:1 [2]:2 [3]:72
[0]:4284166994 [1]:1 [2]:2 [3]:123
[0]:4070147734 [1]:1 [2]:2 [3]:77
[0]:3854649229 [1]:1 [2]:2 [3]:32
[0]:3645920844 [1]:1 [2]:2 [3]:166
[0]:3417942617 [1]:1 [2]:2 [3]:113
[0]:4197557098 [1]:1 [2]:2 [3]:193
[0]:3980207788 [1]:1 [2]:2 [3]:53
[0]:3762180437 [1]:1 [2]:2 [3]:199
[0]:3516123852 [1]:1 [2]:2 [3]:51
[0]:3301921299 [1]:1 [2]:2 [3]:193
[0]:4088656856 [1]:1 [2]:2 [3]:188
[0]:3869998686 [1]:1 [2]:2 [3]:52
[0]:3642753487 [1]:1 [2]:2 [3]:52
[0]:3421661422 [1]:1 [2]:2 [3]:113
[0]:4202947028 [1]:1 [2]:2 [3]:186
[0]:4002235949 [1]:1 [2]:2 [3]:76
[0]:3781511019 [1]:1 [2]:2 [3]:196
[0]:3569425118 [1]:1 [2]:2 [3]:136
[0]:3357835392 [1]:1 [2]:2 [3]:35
[0]:4141760704 [1]:1 [2]:2 [3]:29
[0]:3937750592 [1]:1 [2]:2 [3]:189
[0]:3734051511 [1]:1 [2]:2 [3]:195
[0]:3517850917 [1]:1 [2]:2 [3]:154
[0]:3306517797 [1]:1 [2]:2 [3]:147
[0]:4082957097 [1]:1 [2]:2 [3]:199
[0]:3861985876 [1]:1 [2]:2 [3]:185
[0]:3647242136 [1]:1 [2]:2 [3]:195
[0]:3413867463 [1]:1 [2]:2 [3]:51
[0]:4193776104 [1]:1 [2]:2 [3]:198
[0]:3981574334 [1]:1 [2]:2 [3]:23
[0]:3725609249 [1]:1 [2]:2 [3]:196
[0]:3525972554 [1]:1 [2]:2 [3]:167
[0]:3318984588 [1]:1 [2]:2 [3]:157
[0]:4082052997 [1]:1 [2]:2 [3]:187
[0]:3842020169 [1]:1 [2]:2 [3]:195
[0]:3631392453 [1]:1 [2]:2 [3]:201
[0]:3422521504 [1]:1 [2]:2 [3]:33
[0]:4201864407 [1]:1 [2]:2 [3]:195
[0]:3986020967 [1]:1 [2]:2 [3]:154
[0]:3778116742 [1]:1 [2]:2 [3]:191
[0]:3502780903 [1]:1 [2]:2 [3]:51
[0]:4287267662 [1]:1 [2]:2 [3]:26
[0]:4073408921 [1]:1 [2]:2 [3]:56
[0]:3866852707 [1]:1 [2]:2 [3]:84
[0]:3650820313 [1]:1 [2]:2 [3]:29
[0]:3434329573 [1]:1 [2]:2 [3]:45
[0]:4201912117 [1]:1 [2]:2 [3]:142
[0]:3970417192 [1]:1 [2]:2 [3]:77
[0]:3764427689 [1]:1 [2]:2 [3]:152
[0]:3553951631 [1]:1 [2]:2 [3]:148
[0]:3343114794 [1]:1 [2]:2 [3]:125
[0]:4071443012 [1]:1 [2]:2 [3]:192
[0]:3866027974 [1]:1 [2]:2 [3]:183
[0]:3649700048 [1]:1 [2]:2 [3]:193
[0]:3433652874 [1]:1 [2]:2 [3]:173
[0]:4225562084 [1]:1 [2]:2 [3]:188
[0]:4014986102 [1]:1 [2]:2 [3]:150
[0]:3809953179 [1]:1 [2]:2 [3]:132
[0]:3606491846 [1]:1 [2]:2 [3]:123
[0]:3374045618 [1]:1 [2]:2 [3]:40
[0]:4123146217 [1]:1 [2]:2 [3]:87
[0]:3912642962 [1]:1 [2]:2 [3]:197
[0]:3694034453 [1]:1 [2]:2 [3]:127
[0]:3477947769 [1]:1 [2]:2 [3]:146
[0]:4238909373 [1]:1 [2]:2 [3]:56
[0]:4031010807 [1]:1 [2]:2 [3]:39
[0]:3822059573 [1]:1 [2]:2 [3]:113
[0]:3613842668 [1]:1 [2]:2 [3]:63
