[0]:0 [1]:0 [2]:0 [3]:0
[0]:3959910707 [1]:1 [2]:2 [3]:26
[0]:3743850406 [1]:1 [2]:2 [3]:196
[0]:3528078914 [1]:1 [2]:2 [3]:50
[0]:3308027306 [1]:1 [2]:2 [3]:199
[0]:4096070296 [1]:1 [2]:2 [3]:115
[0]:3879014747 [1]:1 [2]:2 [3]:191
[0]:3648429716 [1]:1 [2]:2 [3]:34
[0]:3412714668 [1]:1 [2]:2 [3]:88
[0]:4098873757 [1]:1 [2]:2 [3]:131
[0]:3875901136 [1]:1 [2]:2 [3]:106
[0]:3664068902 [1]:1 [2]:2 [3]:173
[0]:3431943132 [1]:1 [2]:2 [3]:130
[0]:4215965462 [1]:1 [2]:2 [3]:171
[0]:4001297123 [1]:1 [2]:2 [3]:181
[0]:3775802949 [1]:1 [2]:2 [3]:116
[0]:3552963891 [1]:1 [2]:2 [3]:134
[0]:3336320902 [1]:1 [2]:2 [3]:131
[0]:4118382372 [1]:1 [2]:2 [3]:198
[0]:3899853912 [1]:1 [2]:2 [3]:127
[0]:3689772064 [1]:1 [2]:2 [3]:178
[0]:3462243503 [1]:1 [2]:2 [3]:146
[0]:4243909744 [1]:1 [2]:2 [3]:197
[0]:4032126143 [1]:1 [2]:2 [3]:162
[0]:3807939051 [1]:1 [2]:2 [3]:171
[0]:3599289548 [1]:1 [2]:2 [3]:31
[0]:3375896042 [1]:1 [2]:2 [3]:194
[0]:4142602898 [1]:1 [2]:2 [3]:130
[0]:3891789632 [1]:1 [2]:2 [3]:190
[0]:3678933346 [1]:1 [2]:2 [3]:55
[0]:3464908594 [1]:1 [2]:2 [3]:172
[0]:4167796654 [1]:1 [2]:2 [3]:70
[0]:3960185211 [1]:1 [2]:2 [3]:147
[0]:3740115666 [1]:1 [2]:2 [3]:93
[0]:3453674734 [1]:1 [2]:2 [3]:198
[0]:4252079094 [1]:1 [2]:2 [3]:189
[0]:4038422087 [1]:1 [2]:2 [3]:115
[0]:3819831539 [1]:1 [2]:2 [3]:56
[0]:3599968439 [1]:1 [2]:2 [3]:73
[0]:3388673161 [1]:1 [2]:2 [3]:183
[0]:4172468463 [1]:1 [2]:2 [3]:90
[0]:3942310054 [1]:1 [2]:2 [3]:159
[0]:3727986898 [1]:1 [2]:2 [3]:82
[0]:3511951583 [1]:1 [2]:2 [3]:93
[0]:4294120906 [1]:1 [2]:2 [3]:170
[0]:4092184668 [1]:1 [2]:2 [3]:191
[0]:3817990891 [1]:1 [2]:2 [3]:117
[0]:3606714661 [1]:1 [2]:2 [3]:72
[0]:3374247289 [1]:1 [2]:2 [3]:147
[0]:4159778783 [1]:1 [2]:2 [3]:139
[0]:3947541664 [1]:1 [2]:2 [3]:191
[0]:3728220297 [1]:1 [2]:2 [3]:193
[0]:3458218911 [1]:1 [2]:2 [3]:144
[0]:4243773803 [1]:1 [2]:2 [3]:103
[0]:4027874818 [1]:1 [2]:2 [3]:50
[0]:3819918899 [1]:1 [2]:2 [3]:183
[0]:3604093984 [1]:1 [2]:2 [3]:30
[0]:3384070586 [1]:1 [2]:2 [3]:148
[0]:4168918481 [1]:1 [2]:2 [3]:116
[0]:3948147899 [1]:1 [2]:2 [3]:178
[0]:3739833763 [1]:1 [2]:2 [3]:159
[0]:3528236729 [1]:1 [2]:2 [3]:190
[0]:3315881479 [1]:1 [2]:2 [3]:152
[0]:4104684021 [1]:1 [2]:2 [3]:123
[0]:3892377127 [1]:1 [2]:2 [3]:114
[0]:3684200364 [1]:1 [2]:2 [3]:196
[0]:3460013972 [1]:1 [2]:2 [3]:130
[0]:4247847383 [1]:1 [2]:2 [3]:191
[0]:4003585084 [1]:1 [2]:2 [3]:56
[0]:3796588609 [1]:1 [2]:2 [3]:162
