latencia,178,240,245 
 mh,97,94,91 
 clonados,5793867,6068023,10174739 
 pkts,65607773,69002952,65909301 
TX,200520026,RX,200520026,CLONE_E2I,22036629,DROP,93
latencia,164,297,315 
 mh,97,97,106 
 clonados,5804754,8005237,13648371 
 pkts,65698265,68927852,65814076 
TX,200440193,RX,200440193,CLONE_E2I,27458362,DROP,96
latencia,185,249,259 
 mh,97,95,93 
 clonados,5807444,6218788,10180032 
 pkts,65752962,68825907,65939110 
TX,200517979,RX,200517979,CLONE_E2I,22206264,DROP,96
latencia,203,240,249 
 mh,97,96,94 
 clonados,5796196,6515861,10141280 
 pkts,65622582,69074624,65869899 
TX,200567107,RX,200567107,CLONE_E2I,22453337,DROP,92
latencia,193,249,242 
 mh,97,95,93 
 clonados,5803919,6403683,10181111 
 pkts,65700570,68852709,65958559 
TX,200511838,RX,200511838,CLONE_E2I,22388713,DROP,92
latencia,188,233,254 
 mh,97,95,93 
 clonados,5805731,6287545,10154426 
 pkts,65716660,69027181,65770044 
TX,200513885,RX,200513885,CLONE_E2I,22247702,DROP,90
latencia,181,271,319 
 mh,97,94,100 
 clonados,5811442,6699575,13677871 
 pkts,65745325,68728908,65972101 
TX,200446334,RX,200446334,CLONE_E2I,26188888,DROP,93
latencia,176,247,250 
 mh,97,95,93 
 clonados,5801349,6333642,10168658 
 pkts,65688190,68944978,65895046 
TX,200528214,RX,200528214,CLONE_E2I,22303649,DROP,91
latencia,171,244,253 
 mh,97,96,94 
 clonados,5788803,6688514,10168498 
 pkts,65578518,69064174,65865052 
TX,200507744,RX,200507744,CLONE_E2I,22645815,DROP,93
latencia,180,272,313 
 mh,97,97,103 
 clonados,5799051,7340590,13667941 
 pkts,65670822,68804957,65958273 
TX,200434052,RX,200434052,CLONE_E2I,26807582,DROP,98
